GhoCode,YearCode,YearDisplay,RegionCode,RegionDisplay,CountryCode,country,SexCode,SexDisplay,DisplayValue,Numeric
WHOSIS_000001,2013,2013,AFR,Africa,BFA,Burkina Faso,BTSX,Both sexes,59,58.56517
WHOSIS_000001,2013,2013,AFR,Africa,BDI,Burundi,BTSX,Both sexes,56,56.20937
WHOSIS_000001,2013,2013,AFR,Africa,CPV,Cabo Verde,BTSX,Both sexes,75,74.76584
WHOSIS_000001,2013,2013,WPR,Western Pacific,KHM,Cambodia,BTSX,Both sexes,73,72.61407
WHOSIS_000001,2013,2013,AFR,Africa,CMR,Cameroon,BTSX,Both sexes,57,56.57552
WHOSIS_000001,2013,2013,AMR,Americas,CAN,Canada,BTSX,Both sexes,82,81.97529
WHOSIS_000001,2013,2013,AFR,Africa,CAF,Central African Republic,BTSX,Both sexes,51,51.43201
WHOSIS_000001,2013,2013,AFR,Africa,TCD,Chad,BTSX,Both sexes,52,51.7094
WHOSIS_000001,2013,2013,AMR,Americas,CHL,Chile,BTSX,Both sexes,80,80.05825
WHOSIS_000001,2013,2013,WPR,Western Pacific,CHN,China,BTSX,Both sexes,75,75.48225
WHOSIS_000001,2013,2013,AMR,Americas,COL,Colombia,BTSX,Both sexes,78,78.06821
WHOSIS_000001,2013,2013,AFR,Africa,COM,Comoros,BTSX,Both sexes,62,61.86594
WHOSIS_000001,2013,2013,AFR,Africa,COG,Congo,BTSX,Both sexes,59,58.92405
WHOSIS_000001,2013,2013,WPR,Western Pacific,COK,Cook Islands,BTSX,Both sexes,76,75.82879
WHOSIS_000001,2013,2013,AMR,Americas,CRI,Costa Rica,BTSX,Both sexes,79,79.31783
WHOSIS_000001,2013,2013,AFR,Africa,CIV,Cote d'Ivoire,BTSX,Both sexes,53,53.17685
WHOSIS_000001,2013,2013,EUR,Europe,HRV,Croatia,BTSX,Both sexes,78,78.15862
WHOSIS_000001,2013,2013,AMR,Americas,CUB,Cuba,BTSX,Both sexes,78,78.29336
WHOSIS_000001,2013,2013,EUR,Europe,CYP,Cyprus,BTSX,Both sexes,82,81.88437
WHOSIS_000001,2013,2013,EUR,Europe,CZE,Czech Republic,BTSX,Both sexes,78,78.23041
WHOSIS_000001,2013,2013,EUR,Europe,DNK,Denmark,BTSX,Both sexes,80,79.90733
WHOSIS_000001,2013,2013,EMR,Eastern Mediterranean,DJI,Djibouti,BTSX,Both sexes,62,61.75758
